"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"RHC SECURITIZADORA DE CRÉDITOS S.A.",24635,"Securitização de Recebíveis","AUDIFACTOR AUDITORES INDEPENDENTES S/S LTDA"
"RHODIA",4421,"Têxtil e Vestuário","ARTHUR ANDERSEN BIEDERMANN A I"
"RHODIA",10065,"Têxtil e Vestuário","ARTHUR ANDERSEN BIEDERMANN A I"
"FISIBA",6106,"Têxtil e Vestuário","ARTHUR ANDERSEN BIEDERMANN A I"
"RIB",12009,"Extração Mineral","KPMG AUDITORES INDEPENDENTES LTDA."
"RIBEIRAO PRETO",14583,"Emp. Adm. Participações","ETAE AUDITORES INDEPENDENTES"
"RICASA",10073,"Agricultura (Açúcar, Álcool e Cana)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"RIMA IMPRESSORA SA",14036,"Máquinas, Equipamentos, Veículos e Peças","KPMG AUDITORES INDEPENDENTES LTDA."
"RHEEM EMPRS",12840,"Metalurgia e Siderurgia","PGBR RJ AUDITORES INDEPENDENTES"
"RIO ALTO ENERGIAS RENOVÁVEIS S.A.",25720,"Energia Elétrica","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"RIO ALTO STL HOLDING I S.A.",27006,"Emp. Adm. Part. - Energia Elétrica","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"RIO ENERGY PROJETOS DE ENERGIA S.A",26298,"Emp. Adm. Part. - Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"RIOCELL",10081,"Papel e Celulose",""
"RGE - RIO GRANDE ENERGIA",16535,"Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"RIO MONSARÁS PARTICIPAÇÕES S/A",22969,"Energia Elétrica","RSM ACAL AUDITORES INDEPENDENTES S/S"
"RIO OTHON",10090,"Hospedagem e Turismo","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"RIO PARANA ENERGIA S.A.",25623,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",18368,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"",27146,"Saneamento, Serv. Água e Gás","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"RIOEST",18872,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","EXACTO AUDITORIA LTDA."
"RIOLOAN 2 COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS",24368,"Securitização de Recebíveis","KPMG AUDITORES INDEPENDENTES LTDA."
"RIPASA",10103,"Papel e Celulose","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"RIVA INCORPORADORA S/A",24996,"Construção Civil, Mat. Constr. e Decoração","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"RIZZO",10111,"Alimentos",""
"RJCP EQUITY S/A",22330,"Emp. Adm. Part. - Sem Setor Principal","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"RODOBENS NEGOCIOS IMOBILIARIOS SA",20451,"Construção Civil, Mat. Constr. e Decoração","KPMG AUDITORES INDEPENDENTES LTDA."
"RODOBENS S.A.",25801,"Máquinas, Equipamentos, Veículos e Peças","KPMG AUDITORES INDEPENDENTES LTDA."
"RODOVIARIA",10120,"Máquinas, Equipamentos, Veículos e Peças","BIANCHESSI & CIA  AUDITORES"
"",23167,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"RODOVIAS DO BRASIL HOLDING S.A.",26352,"Emp. Adm. Part. - Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ROMANO MASSIGNAN",10138,"",""
"ROMAXIS SECURITIZADORA S.A.",24686,"Securitização de Recebíveis","KPMG AUDITORES INDEPENDENTES LTDA."
"ROMI S.A.",7510,"Máquinas, Equipamentos, Veículos e Peças","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ROPASC PARTICIPAÇÕES S/A",22195,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES ASSOCIADOS"
"ROSAFER",10146,"Emp. Adm. Participações","SOTECONTI AUDITORES INDEP SC"
"ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL",16306,"Construção Civil, Mat. Constr. e Decoração","RSM BRASIL AUDITORES INDEPENDENTES LTDA."
"ROSSI SECURITIES",15989,"Seguradoras e Corretoras","ARTHUR ANDERSEN BIEDERMANN A I"
"RR CASA DE INVESTIMENTOS E PARTICIPAÇÕES S.A.",23787,"Emp. Adm. Part. - Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"RRSPE",18856,"Emp. Adm. Participações","GLOBAL AUDITORES INDEPENDENTES LTDA."
"RUBERTEX",10170,"Petroquímicos e Borracha",""
"RUGE SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.",24538,"Securitização de Recebíveis","KPMG AUDITORES INDEPENDENTES LTDA."
"RUMO LOGÍSTICA OPERADORA MULTIMODAL S.A.",23450,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"RUMO MALHA CENTRAL S.A.",26484,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE S.A.",15300,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ALL - AMÉRICA LATINA LOGÍSTICA MALHA OESTE S.A.",17850,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ALL - AMÉRICA LATINA LOGÍSTICA MALHA PAULISTA S.A.",17930,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ALL - AMÉRICA LATINA LOGÍSTICA MALHA SUL S.A.",15709,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ALL - AMÉRICA LATINA LOGÍSTICA S.A.",17450,"Emp. Adm. Part. - Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"RURAL LEASING S.A.ARRENDAMENTO MERCANTIL",15296,"Arrendamento Mercantil","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"VAGV",11681,"Serviços Transporte e Logística","KPMG AUDITORES ASSOCIADOS"
"S.A.V.",15350,"Emp. Adm. Participações","AUDIACTO AUDITORES INDEPENDENTES SS"
"S.F.S.P.V.",17809,"Emp. Adm. Participações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"S.P.E.L. EMPREENDIMENTOS E PARTICIP. S.A",17817,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","KPMG AUDITORES ASSOCIADOS"
"SABIO",10189,"Máquinas, Equipamentos, Veículos e Peças","AUDIMEC AUDITORES INDEPENDENTES S/S - EPP"
"SABRA",10197,"Têxtil e Vestuário","ADJANITS FALCÃO VILLAR"
"CORTUME CARIOCA",10200,"Têxtil e Vestuário","BDO BINDER & CIA SC AUD INDEP"
"ENGEFUSA",10219,"Construção Civil, Mat. Constr. e Decoração",""
"VIGOR",10227,"Alimentos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"MARVIN",12726,"Metalurgia e Siderurgia","DIRECTA AUDITORES"
"SAMITRI",10260,"Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SAMA",13196,"Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"WHITE MARTINS",10294,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SAAG INVESTIMENTOS S.A.",22756,"Emp. Adm. Part. - Telecomunicações","KPMG AUDITORES ASSOCIADOS"
"SABER SERVIÇOS EDUCACIONAIS S.A.",24490,"Educação","KPMG AUDITORES INDEPENDENTES LTDA."
"SADIA AVICOLA",10308,"Alimentos","SOTEC AUD AUDITORES INDEP SC"
"SADIA CONCORDIA",10316,"Alimentos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SADIA SA",10332,"Alimentos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SADIA",18848,"Alimentos","KPMG AUDITORES INDEPENDENTES LTDA."
"SADOKIN",7048,"Metalurgia e Siderurgia","HIDAKA & ASSOCIADOS AUD IND SC"
"SAFIRA HOLDING S.A.",27138,"Emp. Adm. Part. - Energia Elétrica","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"SAFRA CIA SECURITIZADORA",20400,"Securitização de Recebíveis","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SAFRA HOLDING",10847,"Emp. Adm. Participações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ARRENDAMENTO MERCANTIL",10340,"Arrendamento Mercantil","TOUCHE ROSS & CIA SC AUD INDEP"
"ARRENDAMENTO MERCANTIL",14184,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ARRENDAMENTO MERCANTIL",19844,"Arrendamento Mercantil","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SAFRA PART",10359,"Emp. Adm. Participações","TOUCHE ROSS & CIA SC AUD INDEP"
"SAHY PARTICIPAÇÕES SA",20826,"Emp. Adm. Part. - Sem Setor Principal","NOVA MASTER AUDITORES INDEPENDENTES"
"METALURGICA BARBARA",3689,"Metalurgia e Siderurgia","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"VIDRARIA STA MARINA",4189,"Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SALGEMA",10367,"Petroquímicos e Borracha","KPMG AUDITORES INDEPENDENTES LTDA."
"",23540,"Construção Civil, Mat. Constr. e Decoração","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"SAMCIL",10383,"Serviços Diversos","BINAH AUDITORES ASSOCIADOS SC"
"SANEAGO",19186,"Saneamento, Serv. Água e Gás","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"SANESALTO",19593,"Saneamento, Serv. Água e Gás","KPMG AUDITORES ASSOCIADOS"
"SANO",10391,"Extração Mineral","LOUDON BLOMQUIST AUDITORES INDEPENDENTES"
"SANSUY",10405,"Petroquímicos e Borracha","NARA - KOISEKI AUDITORES INDEPENDENTES"
"SANSUY S.A. INDÚSTRIA DE PLÁSTICOS",12696,"Petroquímicos e Borracha","OPINION AUDITORES INDEPENDENTES EPP"
"INVESC",15199,"Emp. Adm. Part. - Intermediação Financeira","MÜLLER & PREI AUDITORES INDEPENDENTES S/S"
"SANTACONSTANCIA",10421,"Têxtil e Vestuário","SOTECONTI AUDITORES INDEP SC"
"SANTANA TEXTIL SA",16039,"Têxtil e Vestuário","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SANTANDER BRASIL ARRENDAMENTO MERCANTIL S.A.",14940,"Arrendamento Mercantil","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SANTANDER LEASING S.A. ARREND MERC",1830,"Arrendamento Mercantil","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SANTANDER LEASING S.A.",12165,"Arrendamento Mercantil","RUHTRA S/C"
"SANTANDER LEASING S.A.",20559,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SANTHER",5819,"Papel e Celulose","RUHTRA S/C"
"SANTHER",14923,"Papel e Celulose","KPMG AUDITORES INDEPENDENTES LTDA."
"SANTISTA ALIMENTOS",8877,"Alimentos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SANTISTA TÊXTIL S.A.",14516,"Têxtil e Vestuário","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"",23388,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SANTOS BRASIL PARTICIPAÇÕES S.A.",17892,"Emp. Adm. Part. - Serviços Transporte e Logística","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SANTOS BRASIL TECON S.A.",20699,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"SAO BRAZ",12513,"Alimentos","BIANCHESSI & CIA  AUDITORES"
"SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.",13781,"Emp. Adm. Part. - Sem Setor Principal","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SAO LUIZ PART SA",10448,"Emp. Adm. Participações","ARTHUR YOUNG AUD ASSOCIADOS SC"
"SÃO MARTINHO SA",20516,"Agricultura (Açúcar, Álcool e Cana)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SÃO PAULO TURISMO S. A.",9415,"Emp. Adm. Part. - Hospedagem e Turismo","CONATUS AUDITORES INDEPENDENTES S/S"
"SÃO PAULO WELLNESS S/A",19160,"Emp. Adm. Participações","TBRT AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
"SAP SECURITIZADORA DE CREDITOS FINANCEIROS S.A.",26840,"Securitização de Recebíveis","RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S"
"SARABOR",10464,"Petroquímicos e Borracha","PGBR RODYO'S AUDITORES INDEPENDENTES S.S."
"EDITORA SARAIVA",10472,"Comércio (Atacado e Varejo)","RSM BRASIL AUDITORES INDEPENDENTES LTDA."
"SATMA SUL AMERICA",11029,"Seguradoras e Corretoras","RUHTRA S/C"
"SAUIPE S.A.",15261,"Hospedagem e Turismo","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SAVENA",10499,"Máquinas, Equipamentos, Veículos e Peças",""
"SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.",25410,"Comércio (Atacado e Varejo)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SCCA - SECURITIZADORA DE CRÉDITOS DO AGRONEGÓCIO S.A.",23400,"Securitização de Recebíveis","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"SCCI - SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.",23337,"Securitização de Recebíveis","BLB - AUDITORES INDEPENDENTES"
"SCGR EMPRS PARTS SA",16063,"Emp. Adm. Participações","JCS & CIA AUDITORES EIRELLI"
"SCHULZ",14664,"Metalurgia e Siderurgia","VGA AUDITORES INDEPENDENTES SOCIEDADE SIMPLES LTDA"
"SCOPUS",10510,"Máquinas, Equipamentos, Veículos e Peças","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SDV",13790,"Comércio (Atacado e Varejo)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SE SA",16128,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SEABRAS SERVIÇOS DE PETROLEO S/A",22730,"Petróleo e Gás","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SEARA ALIMENTOS",18198,"Alimentos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SEARA INDL",10529,"Agricultura (Açúcar, Álcool e Cana)","RUHTRA S/C"
"SEARLE",10537,"Farmacêutico e Higiene",""
"SEC TWO COMPANHIA SECURITIZADORA DE CRÉDITOS",23752,"Securitização de Recebíveis","AJCA AUDITORES INDEPENDENTES SS LTDA"
"SECME - COMPANHIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS",19720,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"SECURIT",10545,"Construção Civil, Mat. Constr. e Decoração","JOSE DE FARIA GRANJA"
"SEHBE",12874,"Emp. Adm. Participações","JAIRO COELHO CIA AUDITORES S/C"
"ALFRED HOTEIS",10553,"Hospedagem e Turismo","BOCK & CIA  AUDITORES S/C"
"SEIVA S.A. - FLORESTAS E INDÚSTRIAS",10561,"Reflorestamento","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SELF IT ACADEMIAS HOLDING S.A.",26794,"Emp. Adm. Part. - Brinquedos e Lazer","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"AGROCERES",10570,"Agricultura (Açúcar, Álcool e Cana)","RUHTRA S/C"
"SEMER",7242,"Metalurgia e Siderurgia",""
"SEMP TOSHIBA",10588,"Máquinas, Equipamentos, Veículos e Peças","KPMG AUDITORES ASSOCIADOS"
"SENDAS DISTRIBUIDORA S.A.",25372,"Comércio (Atacado e Varejo)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SENDAS",19291,"Comércio (Atacado e Varejo)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SENECA COMPANHIA SECURITIZADORA",23698,"Securitização de Recebíveis","AJCA AUDITORES INDEPENDENTES SS LTDA"
"SENIOR SISTEMAS S.A.",26786,"Comunicação e Informática","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"",25160,"Serviços Transporte e Logística","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"",23221,"Educação","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SERENA ENERGIA S.A.",26441,"Emp. Adm. Part. - Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SERENA GERAÇÃO S.A.",22110,"Emp. Adm. Part. - Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"SERENA GERAÇÃO S.A.",23426,"Emp. Adm. Part. - Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SERGEN",10596,"Construção Civil, Mat. Constr. e Decoração","AUGE CONTADORES S/S"
"SERMECO",10600,"Construção Civil, Mat. Constr. e Decoração","VAZ & MAIA AUDITORES INDEPENDENTES"
"SERNAMBETIBA TRUST",15903,"Construção Civil, Mat. Constr. e Decoração","KPMG AUDITORES INDEPENDENTES LTDA."
"SERRA AZUL",14966,"Emp. Adm. Part. - Brinquedos e Lazer","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA."
"SERTEP SA",14770,"Construção Civil, Mat. Constr. e Decoração","UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES"
"SERVIX",10626,"Construção Civil, Mat. Constr. e Decoração","FERNANDO MOTTA & ASSOCIADOS - AUDITORES INDEPENDENTES"
"SETA",13404,"Petroquímicos e Borracha","BIANCHESSI & CIA  AUDITORES"
"SETAL",10634,"Construção Civil, Mat. Constr. e Decoração",""
"SETIBA PARTICIPAÇÕES S/A",20834,"Emp. Adm. Part. - Sem Setor Principal","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SHOPPING CENTER TACARUNA",15733,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SHOPTIME",15482,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SIBISA",13587,"Comércio Exterior","EXACTO AUDITORIA LTDA."
"SIBRA",10669,"Metalurgia e Siderurgia","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SID INFORMATICA",12254,"Máquinas, Equipamentos, Veículos e Peças","RUHTRA S/C"
"SID MICROELETRONICA",13099,"Máquinas, Equipamentos, Veículos e Peças","RUHTRA S/C"
"SIDERBRAS",13374,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SID ACONORTE",10677,"Metalurgia e Siderurgia","ARTHUR ANDERSEN BIEDERMANN A I"
"SID CEARENSE",13269,"Metalurgia e Siderurgia","ARTHUR ANDERSEN BIEDERMANN A I"
"SID COFERRAZ",10685,"Metalurgia e Siderurgia",""
"SID GUAIRA",10693,"Metalurgia e Siderurgia","ARTHUR ANDERSEN BIEDERMANN A I"
"SID HIME",10707,"Metalurgia e Siderurgia",""
"ALIPERTI",12823,"Metalurgia e Siderurgia","SAX AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES - ME"
"SID RIOGRANDENSE",10723,"Metalurgia e Siderurgia","ARTHUR ANDERSEN BIEDERMANN A I"
"SIFCO",10740,"Metalurgia e Siderurgia","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SIFCOINVEST",12203,"Emp. Adm. Participações","RUHTRA S/C"
"SIMESC",10758,"Metalurgia e Siderurgia","MARTINELLI AUDITORES"
"SIMPAR S.A.",25003,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SINQUIA S.A.",22799,"Comunicação e Informática","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SIOM",10774,"Máquinas, Equipamentos, Veículos e Peças","MATTOSO AUDITORES INDEPENDENTES & ASSOCIADOS LTDA."
"SIPOREX",10782,"Extração Mineral","MAZARS & GUÉRARD AUDITORES INDEPENDENTES"
"SISAL BAHIA",10790,"Hospedagem e Turismo","SOTECONTI AUDITORES INDEP SC"
"SISAL IMOBILIARIA",10804,"Construção Civil, Mat. Constr. e Decoração","SOTECONTI AUDITORES INDEP SC"
"SIT",10812,"Construção Civil, Mat. Constr. e Decoração","FERNANDO MOTTA & ASSOCIADOS - AUDITORES INDEPENDENTES"
"SLC AGRICOLA SA",20745,"Agricultura (Açúcar, Álcool e Cana)","KPMG AUDITORES INDEPENDENTES LTDA."
"SLOT URBANISMO S.A.",24678,"Construção Civil, Mat. Constr. e Decoração","BKR - LOPES, MACHADO AUDITORES"
"HOSPITAL VITA CURITIBA",15148,"Emp. Adm. Part. - Serviços médicos","MARTINELLI AUDITORES"
"SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.",24260,"Brinquedos e Lazer","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SMILES FIDELIDADE S.A.",24252,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"",23140,"Comércio (Atacado e Varejo)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SNB PARTICIPAÇÕES S/A",14303,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SOBLOCO",10820,"Construção Civil, Mat. Constr. e Decoração",""
"INVICTA",13501,"Outras Atividades Industriais","RUHTRA S/C"
"SOC PAULIS ART MET",13145,"Metalurgia e Siderurgia","BIANCHESSI & CIA  AUDITORES"
"SANASA-CAMPINAS",16241,"Saneamento, Serv. Água e Gás","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"SOC DE PART CIMENT",16217,"Construção Civil, Mat. Constr. e Decoração","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SOFIMA",13129,"Outras Atividades Industriais","PADRAO AUDITORIA S/S"
"SOGERAL LEASING",10855,"Arrendamento Mercantil","RUHTRA S/C"
"SOLA SA",14710,"Alimentos","UHY ASSETS AUDITORES ASSOCIADOS S/S"
"SOLAE DO BRASIL HOLDINGS SA",19410,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SOLAR BEBIDAS S.A.",27014,"Bebidas e Fumo","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SOLE DO BRASIL S.A. TELECOMUNICAÇÕES E COMERCIO EXTERIOR",16004,"Telecomunicações","JDM AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
"",27073,"Saneamento, Serv. Água e Gás","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ABRIL EDUCAÇÃO S/A",22551,"Gráficas e Editoras","KPMG AUDITORES INDEPENDENTES LTDA."
"SONAE DISTRIBUIÇÃO BRASIL",16055,"Comércio (Atacado e Varejo)","ARTHUR ANDERSEN BIEDERMANN A I"
"SONDIS BRASIL",17981,"Emp. Adm. Participações","RUHTRA S/C"
"SONDOTECNICA S/A.",10880,"Construção Civil, Mat. Constr. e Decoração","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"SOPAVE",10898,"Máquinas, Equipamentos, Veículos e Peças","NORMAS AUDITORIA E CONS SC"
"SORANA COMERCIAL",10901,"Máquinas, Equipamentos, Veículos e Peças","SOTEC AUD AUDITORES INDEP SC"
"SOTREQ",10910,"Comércio (Atacado e Varejo)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"PEVE PARTICIPACOES",9547,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SOUZA CRUZ",4057,"Bebidas e Fumo","KPMG AUDITORES INDEPENDENTES LTDA."
"SPE AKRO SECURITIZADORA S.A.",23361,"Securitização de Recebíveis","ATA AUDITORES & CONSULTORES EPP"
"SPERB",10936,"Têxtil e Vestuário","MESSIAS AUDITORIA E CONSULTORIA S/S"
"SPERRY",10944,"Máquinas, Equipamentos, Veículos e Peças",""
"SPLICE",16489,"Máquinas, Equipamentos, Veículos e Peças","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"SPRINGER CARRIER NE",10952,"Máquinas, Equipamentos, Veículos e Peças",""
"SPRINGER",10960,"Máquinas, Equipamentos, Veículos e Peças","CONFIDOR AUDITORES ASSOCIADOS"
"SPRINGS GLOBAL",20966,"Emp. Adm. Part. - Têxtil e Vestuário","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"A MESMA",1953,"Máquinas, Equipamentos, Veículos e Peças","MGI SENGER-WAGNER AUDITORES INDEPENDENTES"
"ST MICHEL",15725,"Construção Civil, Mat. Constr. e Decoração","DIRECTA AUDITORES"
"SESA",10979,"Máquinas, Equipamentos, Veículos e Peças","ROBERTO DREYFUSS & CIA SC"
"STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS",24201,"Máquinas, Equipamentos, Veículos e Peças","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"DESENVIX ENERGIAS RENOVÁVEIS SA",22594,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BTG PACTUAL STIGMA PARTICIPAÇÕES S/A",22292,"Emp. Adm. Part. - Petróleo e Gás","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"INDUSTRIA DE EXTRAÇAO DE STEVIOSIDEO",13153,"Farmacêutico e Higiene","GWM AUDITORES E CONSULTORES"
"SUBESTAÇÃO ELETROMETRÔ",17787,"Emp. Adm. Part. - Energia Elétrica","LOUDON BLOMQUIST AUDITORES INDEPENDENTES"
"SUBMARINO S/A",19682,"Comércio (Atacado e Varejo)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
