"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"ALUSUD",353,"Metalurgia e Siderurgia","BIANCHESSI & CIA AUDITORES"
"ALVAREZ & MARSAL INVESTIMENTOS I S.A.",26433,"Emp. Adm. Part. - Sem Setor Principal","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"BEC",1147,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"AMADEO ROSSI SA METALÚRGICA E MUNIÇÕES",361,"Metalurgia e Siderurgia","MARTINELLI AUDITORES"
"AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.",24503,"Emp. Adm. Part. - Energia Elétrica","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"AMARANTE PARTICIPACO",16918,"Emp. Adm. Participações","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"AMAZONAS CALCADOS",370,"Têxtil e Vestuário","ADNER AUDITORIA E PLANEJAMENTO S/S"
"AMAZONE FUN PARKS S/A",26930,"Hospedagem e Turismo","PP&C AUDITORES INDEPENDENTES S/S"
"AMAZÔNIA CELULAR",17280,"Telecomunicações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"AMBEV S.A",23264,"Bebidas e Fumo","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.",24961,"Saneamento, Serv. Água e Gás","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"AMELCO",12750,"Máquinas, Equipamentos, Veículos e Peças","PADRAO AUDITORIA S/S"
"AMER DO SUL LEASING",388,"Arrendamento Mercantil","RUHTRA S/C"
"AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL",20990,"Comércio (Atacado e Varejo)","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ROCK IN RIO CAFÉ LTDA",15679,"Hospedagem e Turismo","BKR - LOPES, MACHADO AUDITORES"
"AMERICEL",16195,"Telecomunicações","DIRECTA AUDITORES"
"AMIL PARTICIPAÇÕES S/A",21172,"Serviços Médicos","TERCO AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES"
"",26476,"Emp. Adm. Part. - Têxtil e Vestuário","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"AMPLA",3050,"Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"AMPLA INVESTIMENTOS E SERVIÇOS S/A",20214,"Emp. Adm. Part. - Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ANCAR EMPREENDIMENTOS COMERCIAIS S/A",19259,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ANCAR",15326,"Emp. Adm. Participações","RUHTRA S/C"
"ANCORA COMERCIAL",396,"Máquinas, Equipamentos, Veículos e Peças","BIANCHESSI & CIA AUDITORES"
"ANDERSON CLAYTON",400,"Alimentos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"AGCONCESSOES",19437,"Emp. Adm. Part. - Sem Setor Principal","MOORE CONSULTING NEWS AUDITORES INDEPENDENTES"
"CANTAROS PARTICIPAÇÕES S.A.",19062,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES INDEPENDENTES LTDA."
"ANEMUS WIND HOLDING S.A.",26832,"Energia Elétrica","KPMG AUDITORES ASSOCIADOS"
"ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.",18961,"Emp. Adm. Part. - Educação","KPMG AUDITORES INDEPENDENTES LTDA."
"",23248,"Educação","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ANSON",12416,"Construção Civil, Mat. Constr. e Decoração",""
"APOLO",426,"Metalurgia e Siderurgia","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"AQUA-RIO S/A",22101,"Brinquedos e Lazer","KPMG AUDITORES INDEPENDENTES LTDA."
"AQUATEC",12564,"Petroquímicos e Borracha","MERITO AUDITORES INDEPENDENTES"
"ÁQUILLA SECURITIZADORA SA",21512,"Securitização de Recebíveis","CONFIANCE AUDITORES INDEPENDENTES"
"AUREA SECURITIES COMPANHIA SECURITIZADORA S.A.",22950,"Securitização de Recebíveis","HLV AUDITORES - SOCIEDADE SIMPLES"
